Q1A	Q1I	Q1E	Q2A	Q2I	Q2E	Q3A	Q3I	Q3E	Q4A	Q4I	Q4E	Q5A	Q5I	Q5E	Q6A	Q6I	Q6E	country	introelapse	testelapse	surveyelapse	TIPI1	TIPI2	TIPI3	TIPI4	TIPI5	TIPI6	TIPI7	TIPI8	TIPI9	TIPI10	VCL1	VCL2	VCL3	VCL4	VCL5	VCL6	VCL7	VCL8	VCL9	VCL10	VCL11	VCL12	VCL13	VCL14	VCL15	VCL16	education	urban	gender	engnat	age	screenw	screenh	hand	religion	orientation	race	voted	married	familysize	major
1	5	4512	1	3	2435	1	2	5789	1	1	3823	1	6	2203	1	4	1890	KR	2	21	96	3	7	2	6	7	7	2	6	3	5	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1	2	3	3	2	23	1920	1080	1	2	2	11	2	1	2	
1	4	4633	2	3	6208	5	2	7213	5	1	4425	2	6	3765	2	5	3610	US	23	30	239	1	7	6	7	1	7	5	1	2	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1	2	2	2	1	44	360	640	1	1	1	17	2	3	3	
4	1	5339	3	5	4327	5	4	4424	5	6	2457	5	3	2150	5	2	4281	US	13	24	113	6	5	5	2	7	3	5	4	4	2	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	3	3	1	1	28	1440	900	1	12	1	17	0	1	3	Environmental Studies
5	4	2156	5	6	1437	4	1	7035	5	3	3613	5	2	2436	5	5	4027	US	1	21	81	6	1	7	1	6	6	7	1	6	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	3	2	1	16	1366	768	1	2	1	16	2	1	2	
4	1	7113	4	6	4016	3	2	6414	5	5	3717	4	3	7233	5	4	4884	US	17	34	199	2	3	6	7	6	5	7	2	2	2	1	1	0	1	1	0	0	0	0	1	1	0	1	1	1	1	4	1	2	1	34	1366	768	2	12	1	16	1	1	7	Social Work
1	3	19777	1	4	2891	2	5	6837	2	1	18625	1	2	9097	2	6	10234	GB	17	68	163	2	1	6	2	5	4	2	1	6	3	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	3	3	2	1	32	414	736	1	2	1	16	2	2	3	japanese 
4	2	2595	3	5	2795	4	1	180030	5	6	2466	5	4	3469	5	3	2932	US	4	195	88	2	2	3	5	6	5	7	5	4	2	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	3	2	2	1	30	1366	768	1	1	1	16	2	1	2	anthropology
4	1	8014	4	5	3268	3	4	5547	4	3	3632	3	6	5895	5	2	7710	HU	15	35	191	1	5	5	4	6	5	5	6	3	4	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	1	2	2	2	15	1024	600	1	2	2	16	2	1	2	
4	3	5921	2	6	2863	4	1	21273	2	4	6798	2	5	5496	2	2	3679	US	52	47	216	1	2	5	5	5	7	5	7	5	3	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	2	3	2	1	35	570	320	1	1	2	16	2	3	3	
3	1	8286	4	6	5879	1	4	4704	4	3	8503	3	5	5071	2	2	5533	US	3	39	113	5	5	7	5	3	4	3	3	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	37	1024	768	2	2	1	16	1	1	3	
